stage_rel_m,area_m2,storage_m3,dSdh_m2
-15.09999999999993,48636360000.0,1728176731780.2312,48636546326.57401
-15.04999999999993,48664800000.0,1730609269058.5835,48665069204.5745
-14.999999999999929,48693560000.0,1733043238700.6887,48693645756.837685
-14.949999999999928,48721990000.0,1735478633634.2673,48722268182.81425
-14.899999999999928,48750460000.0,1737915465518.9702,48750408670.21903
-14.849999999999927,48778300000.0,1740353674501.2893,48778170701.422646
-14.799999999999926,48806240000.0,1742793282589.1125,48806621849.53544
-14.749999999999925,48835880000.0,1745234336686.243,48836173902.74833
-14.699999999999925,48865890000.0,1747676899979.3875,48865567326.317665
-14.649999999999924,48894460000.0,1750120893418.8748,48894189766.72782
-14.599999999999923,48922640000.0,1752566318956.0603,48922827130.692665
-14.549999999999923,48951630000.0,1755013176131.944,48951380088.17802
-14.499999999999922,48979650000.0,1757461456964.8782,48979674584.147255
-14.449999999999921,49008000000.0,1759911143590.359,49007491577.26005
-14.39999999999992,49034520000.0,1762362206122.6042,49034807810.499794
-14.34999999999992,49062300000.0,1764814624371.409,49062367663.749306
-14.299999999999919,49090750000.0,1767268442888.9792,49090477682.59208
-14.249999999999918,49118210000.0,1769723672139.6682,49118368459.69657
-14.199999999999918,49146100000.0,1772180279734.949,49146283446.3616
-14.149999999999917,49174910000.0,1774638300484.3044,49175040197.8533
-14.099999999999916,49204150000.0,1777097783754.7344,49203815249.161896
-14.049999999999915,49232180000.0,1779558682009.2207,49232453801.06619
-13.999999999999915,49261940000.0,1782021029134.841,49261861109.38406
-13.949999999999914,49292250000.0,1784484868120.1592,49291956080.184845
-13.899999999999913,49322190000.0,1786950224742.8596,49322319767.91922
-13.849999999999913,49352790000.0,1789417100096.9512,49352761034.45242
-13.799999999999912,49383150000.0,1791885500846.305,49383164867.53592
-13.749999999999911,49412880000.0,1794355416583.7048,49413087953.37088
-13.69999999999991,49442900000.0,1796826809641.642,49443124454.210724
-13.64999999999991,49473600000.0,1799299729029.126,49473368477.02078
-13.599999999999909,49502390000.0,1801774146489.3442,49502767482.318634
-13.549999999999908,49531720000.0,1804250005777.358,49531890339.4158
-13.499999999999908,49561970000.0,1806727335523.286,49561624838.73221
-13.449999999999907,49591480000.0,1809206168261.2312,49591382310.443634
-13.399999999999906,49620860000.0,1811686473754.3303,49620931844.67459
-13.349999999999905,49650300000.0,1814168261445.6987,49650854232.806915
-13.299999999999905,49681040000.0,1816651559177.611,49681207763.0071
-13.249999999999904,49711770000.0,1819136382221.9995,49713027197.60915
-13.199999999999903,49746930000.0,1821622861897.372,49746688577.435814
-13.149999999999903,49779930000.0,1824111051079.7432,49780428807.0696
-13.099999999999902,49814210000.0,1826600904778.079,49813606501.05154
-13.049999999999901,49848260000.0,1829092411729.8484,49847680801.259056
-12.9999999999999,49881710000.0,1831585672858.205,49882528607.72146
-12.9499999999999,49918150000.0,1834080664590.6206,49918033811.91091
-12.899999999999899,49954010000.0,1836577476239.3962,49953973516.92556
-12.849999999999898,49989620000.0,1839076061942.3132,49989407080.09695
-12.799999999999898,50025090000.0,1841576416947.406,50025523553.392845
-12.749999999999897,50060760000.0,1844078614297.6526,50061343479.310814
-12.699999999999896,50096980000.0,1846582551295.3372,50097325588.80544
-12.649999999999896,50135050000.0,1849088346856.5332,50135988608.39529
-12.599999999999895,50176070000.0,1851596150156.1768,50175719163.92507
-12.549999999999894,50213420000.0,1854105918772.9258,50215116840.001724
