date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,level_obs_m_asl,level_sim_m_asl
2009-12-09,-0.7871395633586049,2700695104405.013,57884482572.087326,10.924964977974437,11.09,373853226.9924459,256811086.44014132,74886336.0,4354838.70967742,551423138.7229097,2972.3505375016357,1133.9399999999998,1133.7749649779744
2009-12-10,-0.779110145222422,2701198051557.838,57884484177.970955,10.932994396110619,11.06,346725107.2966332,234094730.63763696,73517846.39999999,4354838.70967742,502947152.82459277,2709.4297527504277,1133.9099999999999,1133.7829943961106
2009-12-11,-0.7667440483107119,2701972639844.0386,57884486651.19034,10.94536049302233,11.07,574631174.3269749,275856680.18347234,71544729.6,4354838.70967742,774588286.2007698,3192.7856502716704,1133.9199999999998,1133.7953604930221
2009-12-12,-0.7599929762836531,2702395513880.106,57884488001.40475,10.952111565049387,11.06,307960197.9813834,189582379.19552645,70313702.4,4354838.70967742,422874036.06723243,2194.240499948223,1133.9099999999999,1133.8021115650492
2009-12-13,-0.7578371929738373,2702530547958.465,57884488432.5614,10.954267348359203,11.06,94131872.00916405,117077390.65930101,71820345.60000001,4354838.70967742,135034078.35878763,1355.062391890058,1133.9099999999999,1133.8042673483592
2009-12-14,-0.7506640215491857,2702979861480.7603,57884489867.19569,10.961440519783855,11.08,311388138.84579617,210844756.55935302,68564534.4,4354838.70967742,449313522.29547185,2440.3328305480672,1133.9299999999998,1133.8114405197837
2009-12-15,-0.7420354543355601,2703520338195.0728,57884490000.0,10.97006908699748,11.12,376764364.3740721,238472129.4482386,70404940.8,4354838.70967742,540476714.3126333,2760.094090836095,1133.9699999999998,1133.8200690869974
2009-12-16,-0.7341791269204493,2704012443308.312,57884490000.0,10.977925414412592,11.12,340115190.76798266,227387593.18072742,71042832.0,4354838.70967742,492105113.2390327,2631.80084699916,1133.9699999999998,1133.8279254144124
2009-12-17,-0.7330295760290343,2704084448946.787,57884490000.0,10.979074965304006,11.12,24062902.362691753,123914448.42219777,71616873.6,4354838.70967742,72005638.47521211,1434.1950048865483,1133.9699999999998,1133.829074965304
2009-12-18,-0.7381348244831926,2703764666084.401,57884490000.0,10.973969716849847,11.12,-260592876.5230556,15852321.646308357,70687468.80000001,4354838.70967742,-319782862.38642466,183.4759449804208,1133.9699999999998,1133.8239697168497
2009-12-19,-0.7421109769075308,2703515607607.6284,57884490000.0,10.96999356442551,11.11,-221641866.26552638,49924887.402808815,72986659.2,4354838.70967742,-249058476.77239498,577.8343449399168,1133.9599999999998,1133.8199935644254
2009-12-20,-0.7487440289545927,2703100126091.104,57884490000.0,10.963360512378449,11.12,-347418454.8751764,7535921.060286833,71244144.0,4354838.70967742,-415481516.524567,87.22130856813465,1133.9699999999998,1133.8133605123783
2009-12-21,-0.7563370449643814,2702624514315.351,57884488732.591,10.95576749636866,11.11,-402805585.2370589,4432836.993642555,72884188.8,4354838.70967742,-475611775.7530937,51.30598372271476,1133.9599999999998,1133.8057674963686
2009-12-22,-0.7628146203116116,2702218771579.9697,57884487437.075935,10.949289921021428,11.11,-326372397.29020023,1263691.0185462276,76279190.4,4354838.70967742,-405742735.3813314,14.626053455396152,1133.9599999999998,1133.7992899210212
2009-12-23,-0.7520672248478344,2702891967552.219,57884489586.55503,10.960037316485206,11.1,452317213.7102372,299509171.6491019,74275574.4,4354838.70967742,673195972.2496617,3466.5413385312722,1133.9499999999998,1133.810037316485
2009-12-24,-0.7364800521592997,2703868317813.6133,57884490000.0,10.975624489173741,11.1,700698971.5872389,352614701.31642085,72608572.8,4354838.70967742,976350261.3939824,4081.1886726437597,1133.9499999999998,1133.8256244891736
2009-12-25,-0.7171454925528462,2705079397131.191,57884490000.0,10.994959048780194,11.12,888310557.3802086,400342328.50731194,73218729.6,4354838.70967742,1211079317.5778432,4633.5917651309255,1133.9699999999998,1133.84495904878
2009-12-26,-0.7130553598875882,2705335595109.209,57884490000.0,10.999049181445452,11.15,202003869.24354604,120834016.28437673,62285068.800000004,4354838.70967742,256197978.0182453,1398.5418551432492,1134.0,1133.8490491814453
2009-12-27,-0.6978783507605347,2706286253527.6367,57884490000.0,11.014226190572506,11.11,681161003.56359,339955079.17376316,66102825.599999994,4354838.70967742,950658418.4276757,3934.6652682148515,1133.9599999999998,1133.8642261905725
2009-12-28,-0.6947630015301606,2706481392961.724,57884490000.0,11.01734153980288,11.15,127984824.01866002,139700216.77866066,68190768.0,4354838.70967742,195139434.08764324,1616.900657160424,1134.0,1133.8673415398027
2009-12-29,-0.6783028678077812,2707512423816.3955,57884490000.0,11.033801673525259,11.16,738207878.9452695,365530236.83589023,68352422.4,4354838.70967742,1031030854.6714822,4230.674037452433,1134.01,1133.883801673525
2009-12-30,-0.6798117697764944,2707417909123.3403,57884490000.0,11.032292771556547,11.18,-84909741.52416416,66366760.77869988,71616873.6,4354838.70967742,-94514693.05514167,768.1338053090265,1134.03,1133.8822927715564
2009-12-31,-0.6714672372525302,2707940594457.805,57884490000.0,11.04063730408051,11.18,338417693.541692,257491660.4330295,68869180.8,4354838.70967742,522685334.46504414,2980.227551308212,1134.03,1133.8906373040804
2010-01-01,-0.6534449820232642,2709069473574.192,57884490000.0,11.058659559309776,11.19,453057986.18656164,749982244.1097163,69806275.2,4354838.70967742,1128879116.3866005,8680.35004756616,1134.04,1133.9086595593096
2010-01-02,-0.6396207302806409,2709935397893.5073,57884490000.0,11.0724838110524,11.18,377397110.26538193,562290018.959541,69407971.2,4354838.70967742,865924319.3152454,6507.986330550242,1134.03,1133.9224838110524
2010-01-03,-0.6435441713497517,2709689641153.8013,57884490000.0,11.068560369983288,11.21,-219517708.6570863,47155110.060676865,69039302.4,4354838.70967742,-245756739.70608687,545.7767368133897,1134.06,1133.9185603699832
2010-01-04,-0.6326872594734028,2710369697058.5566,57884490000.0,11.079417281859637,11.23,225017220.10545903,527833123.3593639,68439600.0,4354838.70967742,680055904.7551455,6109.179668511157,1134.08,1133.9294172818595
2010-01-05,-0.6378293092750289,2710047609031.1353,57884490000.0,11.074275232058012,11.22,-256927728.38315922,6951406.871605899,67756867.2,4354838.70967742,-322088027.42123073,80.4560980509942,1134.07,1133.9242752320579
2010-01-06,-0.6244361123123086,2710886532914.9966,57884490000.0,11.087668429020733,11.21,294811662.89998466,620115987.670867,71648928.0,4354838.70967742,838923883.8611741,7177.268375820219,1134.06,1133.9376684290207
2010-01-07,-0.6304790123844323,2710508017373.6807,57884490000.0,11.081625528948608,11.22,-306300933.622488,1948234.216453474,69808003.2,4354838.70967742,-378515541.3157119,22.54900713487817,1134.07,1133.9316255289484
2010-01-08,-0.6070571035902168,2711975120317.6445,57884490000.0,11.105047437742824,11.24,600983027.5327498,941680537.5408039,71205782.39999999,4354838.70967742,1467102943.963876,10899.080295611157,1134.09,1133.9550474377427
2010-01-09,-0.6109795720152759,2711729424502.4756,57884490000.0,11.101124969317764,11.25,-237560558.41876638,69667444.35974112,73447862.4,4354838.70967742,-245695815.1687027,806.3361615710778,1134.1,1133.9511249693176
2010-01-10,-0.6122631858212473,2711649021423.0254,57884490000.0,11.099841355511794,11.26,-172303074.80261487,168233032.46194756,71978198.4,4354838.70967742,-80403079.45034473,1947.1415794206894,1134.11,1133.9498413555118
2010-01-11,-0.5990185838961478,2712478637601.906,57884490000.0,11.113085957436892,11.25,286224450.30128205,617486141.6885678,69739574.4,4354838.70967742,829616178.8801724,7146.830343617683,1134.1,1133.9630859574368
2010-01-12,-0.6046580982891534,2712125389357.2305,57884490000.0,11.107446443043887,11.22,-307342137.25365686,26772641.687915064,68323910.39999999,4354838.70967742,-353248244.67541915,309.8685380545725,1134.07,1133.9574464430439
2010-01-13,-0.6106502050177974,2711750055412.445,57884490000.0,11.101454336315243,11.23,-316144283.2990961,15659369.22335766,70494192.0,4354838.70967742,-375333944.7854158,181.24269934441736,1134.08,1133.9514543363152
2010-01-14,-0.611813989284347,2711677158222.9546,57884490000.0,11.100290552048694,11.2,-131686187.8791474,133376409.89851576,70232572.8,4354838.70967742,-72897189.49030904,1543.708447899488,1134.05,1133.9502905520485
2010-01-15,-0.6172236039215672,2711338310453.1294,57884490000.0,11.094880937411473,11.21,-302212851.9354462,37649229.62005374,69929308.8,4354838.70967742,-338847769.82506984,435.7549724543257,1134.06,1133.9448809374114
