date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2012-10-11,0.0027711451208594197,2750173579156.1953,57884490000.0,11.71485743332613,11.48,458557471.76056737,234887735.68805394,84672000.0,4500000.0,604273207.4486213,2718.608051945069,980.0,1134.33,1134.564857433326
2012-10-12,0.016831497053023087,2751054292333.509,57884490000.0,11.728917785258293,11.46,664927526.9868255,304957650.3265231,84672000.0,4500000.0,880713177.3133485,3529.6024343347585,980.0,1134.31,1134.5789177852582
2012-10-13,0.036959284761040004,2752315057921.038,57884490000.0,11.74904557296631,11.44,969015292.6892573,380922294.8398257,84672000.0,4500000.0,1260765587.529083,4408.822856942427,980.0,1134.29,1134.5990455729661
2012-10-14,0.043036128560273126,2752695699631.5933,57884490000.0,11.755122416765543,11.48,296496480.00778025,173317230.54738215,84672000.0,4500000.0,380641710.55516243,2005.9864646687747,980.0,1134.33,1134.6051224167654
2012-10-15,0.04110290556589967,2752574606292.39,57884490000.0,11.75318919377117,11.47,-115939830.93453218,84018491.73141827,84672000.0,4500000.0,-121093339.20311391,972.4362468914152,980.0,1134.32,1134.6031891937712
2012-10-16,0.04767953034318538,2752986553314.168,57884490000.0,11.759765818548455,11.48,289547818.54382163,211571203.23389843,84672000.0,4500000.0,411947021.7777201,2448.740778170121,980.0,1134.33,1134.6097658185483
2012-10-17,0.04342564062175557,2752720097911.7305,57884490000.0,11.755511928827026,11.49,-218809311.20655844,41525908.76920137,84672000.0,4500000.0,-266455402.43735707,480.62394408797877,980.0,1134.34,1134.605511928827
2012-10-18,0.04108253140015414,2752573330094.16,57884490000.0,11.753168819605424,11.49,-136421522.47224018,78825704.90181726,84672000.0,4500000.0,-146767817.57042292,912.3345474747368,980.0,1134.34,1134.6031688196053
2012-10-19,0.042733420197612414,2752676738566.8086,57884490000.0,11.754819708402882,11.45,65960549.036882915,126619923.61139905,84672000.0,4500000.0,103408472.64828196,1465.5083751319335,980.0,1134.3,1134.6048197084028
2012-10-20,0.03824275409211503,2752395451950.8613,57884490000.0,11.750329042297386,11.46,-228105013.92885742,35990397.98159775,84672000.0,4500000.0,-281286615.94725966,416.5555321944184,980.0,1134.31,1134.6003290422973
2012-10-21,0.03364280816391095,2752107320258.7495,57884490000.0,11.745729096369182,11.47,-239208743.44283444,40249051.33083984,84672000.0,4500000.0,-288131692.1119946,465.84550151435,980.0,1134.32,1134.595729096369
2012-10-22,0.027546377068918902,2751725451637.9746,57884490000.0,11.73963266527419,11.5,-325850902.4011094,33154281.62616091,84672000.0,4500000.0,-381868620.7749485,383.7301114138994,980.0,1134.35,1134.5896326652742
2012-10-23,0.022114143754522995,2751385187078.075,57884490000.0,11.734200431959794,11.56,-281204793.6921411,30112233.792690333,84672000.0,4500000.0,-340264559.8994508,348.5212244524344,980.0,1134.4099999999999,1134.5842004319597
2012-10-24,0.018424444633028208,2751154071480.663,57884490000.0,11.7305107328383,11.51,-191941935.75060847,49998338.33868651,84672000.0,4500000.0,-231115597.41192198,578.6844715125753,980.0,1134.36,1134.5805107328383
2012-10-25,0.02137830912135622,2751339095823.6826,57884490000.0,11.733464597326627,11.49,137903004.27490708,136293338.7446193,84672000.0,4500000.0,185024343.01952636,1577.4691984330939,980.0,1134.34,1134.5834645973266
2012-10-26,0.032405295567303316,2752029804869.648,57884490000.0,11.744491583772573,11.48,528922092.81559676,250958953.14975694,84672000.0,4500000.0,690709045.9653537,2904.617513307372,980.0,1134.33,1134.5944915837724
2012-10-27,0.047207884931325,2752957010360.247,57884490000.0,11.759294173136595,11.47,696256379.0306153,320121111.5686392,84672000.0,4500000.0,927205490.5992546,3705.1054579703614,980.0,1134.32,1134.6092941731365
2012-10-28,0.0674089093358195,2754222363352.4087,57884490000.0,11.77949519754109,11.46,971800191.3318387,382724800.82973295,84672000.0,4500000.0,1265352992.1615717,4429.685194788576,980.0,1134.31,1134.629495197541
2012-10-29,0.07150237864950865,2754478770331.6133,57884490000.0,11.78358866685478,11.46,195482551.54602584,150096427.65873155,84672000.0,4500000.0,256406979.2047574,1737.2271719760595,980.0,1134.31,1134.6335886668546
2012-10-30,0.08555281713458462,2755358862549.8228,57884490000.0,11.797639105339854,11.47,676560897.6741145,292703320.53531265,84672000.0,4500000.0,880092218.2094271,3387.7699136031556,980.0,1134.32,1134.6476391053397
2012-10-31,0.10318491285912633,2756463302831.483,57884490000.0,11.815271201064396,11.48,861673026.762926,331939254.89733356,84672000.0,4500000.0,1104440281.6602595,3841.889524274694,980.0,1134.33,1134.6652712010643
2012-11-01,0.11191032900804346,2757009845977.555,57884490000.0,11.823996617213314,11.5,431370812.75122315,221624333.32102105,101952000.0,4500000.0,546543146.0722442,2565.096450474781,1180.0,1134.35,1134.6739966172133
2012-11-02,0.12910001153036263,2758086574354.2183,57884490000.0,11.841186299735632,11.51,800210421.4846987,393009808.20155907,111991853.0231662,4500000.0,1076728376.6630917,4548.724631962489,1296.202002582942,1134.36,1134.6911862997356
2012-11-03,0.12886556592896237,2758071889136.4146,57884490000.0,11.840951854134232,11.54,3224215.294816485,98616387.02399257,112025820.12228756,4500000.0,-14685217.80347851,1141.3933683332473,1296.595140304254,1134.3899999999999,1134.6909518541343
2012-11-04,0.13394846846162098,2758390272293.6147,57884490000.0,11.846034756666892,11.54,239197218.119915,196758255.58004335,113072316.49990165,4500000.0,318383157.2000567,2277.29462476902,1308.70736689701,1134.3899999999999,1134.696034756667
2012-11-05,0.13561733500974824,2758494806857.7,57884490000.0,11.847703623215018,11.59,84502198.42098895,138009741.06819725,113477375.40396999,4500000.0,104534564.08521621,1597.3349660670979,1313.39554865706,1134.4399999999998,1134.697703623215
2012-11-06,0.1317067979922785,2758249858402.763,57884490000.0,11.843793086197548,11.57,-171907087.4117163,44268075.97164852,112809443.49695423,4500000.0,-244948454.93702203,512.3619904125986,1305.664855288822,1134.4199999999998,1134.6937930861975
2012-11-07,0.1362578409602632,2758534926908.285,57884490000.0,11.848344129165534,11.52,216381556.16266924,186956587.32569474,113769637.96656482,4500000.0,285068505.52179915,2163.8493903436893,1316.7782172056113,1134.37,1134.6983441291654
