date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2009-11-13,-0.7765624696494445,2701357633006.213,57884484687.50607,10.935523818555826,11.07,-31729840.94753502,53382763.10519499,95495570.51734072,4500000.0,-78342648.35968074,617.8560544582754,1105.2728069136658,1133.9199999999998,1133.7855238185557
2009-11-14,-0.7834148040466395,2700928416092.0093,57884483317.03919,10.928671484158631,11.05,-331369130.3712555,1879515.8700821074,95227299.70247978,4500000.0,-429216914.2036532,21.753655903728095,1102.167820630553,1133.8999999999999,1133.7786714841586
2009-11-15,-0.7888547524504683,2700587668292.5044,57884482229.04951,10.923231535754802,11.07,-262130282.10414687,20902687.279927306,95020204.6804476,4500000.0,-340747799.50466716,241.92925092508455,1099.7708875051806,1133.9199999999998,1133.7732315357548
2009-11-16,-0.7704078338154289,2701743147437.8794,57884485918.433235,10.94167845438984,11.07,910415189.3876582,345402912.1867531,95838956.19961326,4500000.0,1155479145.374798,3997.7188910503833,1109.2471782362645,1133.9199999999998,1133.7916784543897
2009-11-17,-0.7653083952301746,2702062566363.8774,57884486938.32095,10.946777892975096,11.07,273853240.1671836,146150701.9223911,96085016.09168696,4500000.0,319418925.99788773,1691.5590500276746,1112.0950936537843,1133.9199999999998,1133.7967778929751
2009-11-18,-0.7551422643167172,2702699353053.95,57884488971.547134,10.956944023888553,11.06,524845389.5067088,212991279.4780394,96549978.91187839,4500000.0,636786690.0728699,2465.176845810641,1117.4766077763702,1133.9099999999999,1133.8069440238885
2009-11-19,-0.7554655524119142,2702679102915.7383,57884488906.88952,10.956620735793356,11.05,670769.2206940743,80142393.2526353,96563300.68538652,4500000.0,-20250138.212057143,927.5739959795752,1117.6307949697514,1133.8999999999999,1133.8066207357933
2009-11-20,-0.7522304810093196,2702881741503.4316,57884489553.9038,10.95985580719595,11.03,183036127.4564589,120832925.68939015,96730465.45226224,4500000.0,202638587.69358683,1398.5292325160897,1119.5655723641462,1133.8799999999999,1133.8098558071958
2009-11-21,-0.7579163200302683,2702525591593.3765,57884488416.73599,10.954169968175002,11.06,-271534647.54060817,16397970.019937389,96513232.53474855,4500000.0,-356149910.0554193,189.79131967520127,1117.0513024855156,1133.9099999999999,1133.8041699681748
2009-11-22,-0.7654229038715616,2702055393765.044,57884486915.41923,10.946663384333709,11.06,-375849282.6147813,6368237.011309389,96216782.72888729,4500000.0,-470197828.3323592,73.70644689015496,1113.6201704732325,1133.9099999999999,1133.7966633843337
2009-11-23,-0.7732678309354005,2701564002774.5703,57884485346.433815,10.93881845726987,11.05,-393514076.982947,2528947.025917111,95905860.51643169,4500000.0,-491390990.47346157,29.27022020737397,1110.0215337549964,1133.8999999999999,1133.7888184572698
