Date,Flow_m3/s
01/04/1986,80.8
01/05/1986,86.1675
01/06/1986,79.2148
01/07/1986,74.7777
01/08/1986,76.9116
01/09/1986,76.7039
01/10/1986,73.7012
01/11/1986,72.3077
01/12/1986,69.5552
01/01/1987,66.2262
01/02/1987,65.4662
01/03/1987,70.9752
01/04/1987,72.1035
01/05/1987,84.3431
01/06/1987,85.0719
01/07/1987,76.7652
01/08/1987,77.5568
01/09/1987,73.7094
01/10/1987,72.6997
01/11/1987,83.8277
01/12/1987,72.0864
01/01/1988,74.231
01/02/1988,69.2383
01/03/1988,71.9159
01/04/1988,92.542
01/05/1988,107.7397
01/06/1988,86.947
01/07/1988,83.8997
01/08/1988,100.3915
01/09/1988,102.366
01/10/1988,108.0163
01/11/1988,89.0542
01/12/1988,76.4345
01/01/1989,72.3784
01/02/1989,72.8417
01/03/1989,72.1842
01/04/1989,83.1703
01/05/1989,92.3747
01/06/1989,87.5493
01/07/1989,81.9268
01/08/1989,90.3539
01/09/1989,95.2956
01/10/1989,91.2887
01/11/1989,80.9287
01/12/1989,79.4653
01/01/1990,81.6387
01/02/1990,80.5093
01/03/1990,94.42
01/04/1990,117.0897
01/05/1990,101.2377
01/06/1990,92.693
01/07/1990,84.3258
01/08/1990,80.7973
01/09/1990,79.4755
01/10/1990,86.4837
01/11/1990,75.8989
