Date,Flow_m3/s
01/02/1976,26.1203
01/03/1976,25.8288
01/04/1976,38.2069
01/05/1976,27.6119
01/06/1976,29.7248
01/07/1976,25.5379
01/08/1976,37.8191
01/09/1976,25.63568868
01/10/1976,56.6567
01/11/1976,52.5069
01/12/1976,46.9595
01/01/1977,39.2981
01/02/1977,31.9491
01/03/1977,55.5969
01/04/1977,37.8274
01/05/1977,30.7605
01/06/1977,50.65671699
01/07/1977,43.4773
01/08/1977,35.4859
01/09/1977,30.8446
01/10/1977,39.6282
01/11/1977,39.6786
01/12/1977,38.0305
01/01/1978,50.2815
01/02/1978,28.4122
01/03/1978,28.4006
01/04/1978,26.6734
01/05/1978,54.2813
01/06/1978,31.0398
01/07/1978,33.0268
01/08/1978,37.751
01/09/1978,35.4768
01/10/1978,33.4235
01/11/1978,37.611
01/12/1978,29.1721
01/01/1979,27.7794
01/02/1979,26.413
01/03/1979,23.0693
01/04/1979,24.1637
01/05/1979,24.5586
01/06/1979,34.1287
01/07/1979,36.8138
01/08/1979,29.4242
01/09/1979,31.6446
01/10/1979,30.6626
01/11/1979,27.9393
01/12/1979,24.9868
01/01/1980,22.6543
01/02/1980,20.8145
01/03/1980,20.5406
01/04/1980,24.1593
01/05/1980,44.1391
01/06/1980,32.7438
01/07/1980,26.6071
01/08/1980,31.5695
01/09/1980,43.8372
01/10/1980,39.8547
01/11/1980,33.1332
01/12/1980,29.7316
01/01/1981,22.9232
01/02/1981,38.644
01/03/1981,45.6049
01/04/1981,28.1384
01/05/1981,25.9714
01/06/1981,24.9075
01/07/1981,35.8339
01/08/1981,30.3898
01/09/1981,31.6911
01/10/1981,30.5244
01/11/1981,41.0989
01/12/1981,41.5766
01/01/1982,28.1384
01/02/1982,25.9714
01/03/1982,24.9075
01/04/1982,35.8339
01/05/1982,30.3898
01/06/1982,31.6911
01/07/1982,30.5244
01/08/1982,41.0989
01/09/1982,41.5766
01/10/1982,40.7631
01/11/1982,30.9517
01/12/1982,27.8618
01/01/1983,26.5825
01/02/1983,24.9922
01/03/1983,24.3854
01/04/1983,26.6083
01/05/1983,25.3776
01/06/1983,26.0026
01/07/1983,26.1263
01/08/1983,28.9661
01/09/1983,26.9067
01/10/1983,25.5873
01/11/1983,25.6602
01/12/1983,26.4408
01/01/1984,24.2496
01/02/1984,25.602
01/03/1984,23.5871
01/04/1984,39.6934
01/05/1984,44.0964
01/06/1984,35.0975
01/07/1984,33.6054
01/08/1984,33.8149
01/09/1984,30.8211
01/10/1984,26.4292
01/11/1984,24.3699
01/12/1984,24.0883
01/01/1985,23.5878
01/02/1985,23.8397
01/03/1985,26.1841
01/04/1985,30.5613
01/05/1985,31.1007
01/06/1985,29.2968
01/07/1985,30.023
01/08/1985,27.7402
01/09/1985,25.2915
01/10/1985,24.9678
01/11/1985,24.0441
01/12/1985,23.6771
01/01/1986,25.2191
01/02/1986,27.1912
01/03/1986,31.3892
01/04/1986,43.1878
01/05/1986,28.5194
01/06/1986,26.934
01/07/1986,24.792
01/08/1986,26.1542
01/09/1986,30.095
01/10/1986,25.0819
01/11/1986,26.7756
01/12/1986,38.734
01/01/1987,46.9427
01/02/1987,30.2574
01/03/1987,33.2664
01/04/1987,57.3188
01/05/1987,44.3516
01/06/1987,41.3534
01/07/1987,33.1911
01/08/1987,26.4575
01/09/1987,25.6025
01/10/1987,25.6536
01/11/1987,28.2353
01/12/1987,38.536
01/01/1988,39.9536
01/02/1988,37.0771
01/03/1988,37.2588
01/04/1988,38.1684
01/05/1988,37.2717
01/06/1988,37.1642
01/07/1988,29.6316
01/08/1988,29.2056
01/09/1988,33.0415
01/10/1988,30.1809
01/11/1988,39.2912
01/12/1988,57.3736
01/01/1989,35.7122
01/02/1989,32.3103
01/03/1989,30.2247
01/04/1989,29.1321
01/05/1989,28.115
01/06/1989,26.9611
01/07/1989,25.4074
01/08/1989,24.607
01/09/1989,25.3303
01/10/1989,23.849
01/11/1989,24.4511
01/12/1989,29.1867
01/01/1990,32.9136
01/02/1990,39.1308
01/03/1990,35.2581
01/04/1990,39.3007
01/05/1990,34.4783
01/06/1990,27.4004
01/07/1990,25.7354
01/08/1990,24.7118
01/09/1990,23.8464
01/10/1990,24.1263
01/11/1990,23.0332
01/12/1990,25.6886
01/01/1991,28.4272
01/02/1991,35.3103
01/03/1991,35.1267
01/04/1991,41.989
01/05/1991,43.1587
01/06/1991,33.5006
01/07/1991,27.6016
01/08/1991,25.2891
01/09/1991,26.5496
01/10/1991,26.6191
01/11/1991,24.2842
01/12/1991,23.7099
01/01/1992,33.1434
01/02/1992,32.7655
01/03/1992,29.4261
01/04/1992,26.9293
01/05/1992,24.4375
01/06/1992,23.6901
01/07/1992,42.1032
01/08/1992,22.6619
01/09/1992,26.0797
01/10/1992,28.7366
01/11/1992,44.4192
01/12/1992,39.9817
01/01/1993,55.4075
01/02/1993,36.2888
01/03/1993,27.0473
01/04/1993,31.0175
01/05/1993,28.7712
01/06/1993,24.664
01/07/1993,24.4646
01/08/1993,26.8448
01/09/1993,25.4034
01/10/1993,31.1717
01/11/1993,31.0103
01/12/1993,35.709
