candidate_index,days_above_high_threshold,days_below_low_threshold,min_level_m,max_level_m,mean_level_m,mean_outflow_m3s,std_outflow_m3s,mean_abs_ramp_m3s_day,monthly_q_min_m3s,monthly_q_max_m3s,wet_minus_dry_mean_m3s,seasonal_spread_gap_m3s,natural_band_penalty_m3s,realized_monthly_target_rmse_m3s,realized_high_violation_m,realized_low_violation_m,realized_is_band_feasible,realized_is_guardrail_feasible,emergency_high_release_days,emergency_low_release_days,high_water_buffer_m,low_water_buffer_m,dry_protective_q_min_m3s,excess_low_days_vs_observed,selection_score
27,305,159,11.00039128527686,12.34695360542414,11.589544343989754,1067.504255053476,172.06721684233287,3.387365627972492,953.8123072253208,1193.7962205105305,207.3167843066675,122.21108149005045,26.18769277467925,70.94699741222547,0.19695360542413987,0.14960871472313997,False,True,1583,737,0.10844410970130847,0.4846881639337571,683.9068925273552,0,0.4368056428747383
28,266,105,11.001487365069753,12.32215994955839,11.62087034385156,1069.9260879804763,189.94474953337732,3.5302701509873806,934.4475293684716,1206.1658002656213,244.03663053754315,158.9309277209261,57.88407116277108,86.67864472533465,0.17215994955838987,0.14851263493024724,False,True,1763,1419,0.10652191958805632,0.6765520306055683,678.2026019895983,0,0.4350045767262349
29,292,142,11.000193192505694,12.33887039039183,11.597311857244485,1068.2938197883766,177.35314559504224,3.52510856272031,949.5101630076888,1198.5601047457073,217.45041898917304,132.344716172556,30.48983699231121,75.20453156878784,0.1888703903918305,0.14980680749430597,False,True,1673,1041,0.11559083713726105,0.5377337827995247,683.9506555840476,0,0.4377137105496096
30,244,89,11.000057950475105,12.305549956418131,11.631407777211503,1071.548544488021,199.80264719957808,3.704512976664038,926.8920873167891,1216.368352318199,259.8032219366413,174.69751912002425,85.8446173196088,94.18141130975587,0.15554995641813107,0.14994204952489554,False,True,1766,1692,0.07274713708577236,0.753391151339917,687.9439494344897,0,0.43368879705799684
31,266,98,11.002399562061001,12.322368698343224,11.622776323489589,1069.9056974949904,190.53443028151122,3.500066004975896,933.7440042448706,1206.2039854200689,245.02407076434724,159.9183679477302,58.6639665952672,87.09303538762971,0.17236869834322377,0.14760043793899946,False,True,1771,1434,0.10751316955862643,0.6836690492512552,676.3308886105148,0,0.43516659855411144
32,263,101,11.000548889223593,12.319834368161677,11.62183010336929,1070.1532497041267,190.84851329352006,3.5122626771598604,933.8984261925119,1206.6850509631429,245.27266473142674,160.1669619148097,59.47167573377385,87.24516338738418,0.16983436816167696,0.1494511107764076,False,True,1770,1430,0.10823846975999445,0.681990380350064,676.3308886105148,0,0.43250604276391214
33,275,119,11.000097839892005,12.32761834691006,11.612888502682079,1069.3929142320576,185.08690366409024,3.533545519933521,939.4465608069949,1202.071553850477,235.64646683707883,150.54076402046178,44.69654689395895,82.83160233906422,0.1776183469100605,0.14990216010799529,False,True,1734,1314,0.11184590411764792,0.6296384235513771,675.6609845045341,0,0.4351134164521184
34,257,100,11.001715167083498,12.312856201776603,11.623941570850452,1070.8348737942624,195.47263018303505,3.8602199935880077,931.1785400162306,1214.3560410019973,250.91718831909373,165.81148550247667,77.5335419877639,90.3078707839971,0.1628562017766022,0.1482848329165023,False,True,1747,1568,0.10846661325939264,0.7046695244389847,692.7636571256229,0,0.4439480887446522
35,302,155,11.002400703874887,12.346131346917938,11.590169717472314,1067.5845728870172,172.07450213390192,3.425074010404454,954.2352134704312,1193.5500008266788,206.63324173025535,121.5275389136383,25.764786529568823,70.46118312825945,0.19613134691793732,0.14759929612511336,False,True,1569,674,0.05823413620254428,0.4848265793882772,678.5878310914252,0,0.4319454636005059
36,265,115,11.00237204426275,12.31870292327322,11.615828057468299,1070.2637687215597,190.56883226782773,3.9305031869229974,937.3471511574384,1209.8513278882283,240.16655801604668,155.06085519942962,62.355504619018234,85.47592499584998,0.16870292327321934,0.14762795573725107,False,True,1695,1378,0.057035295489393775,0.6495402314172704,688.7493793338093,0,0.440681067999552
37,242,88,11.000708628775916,12.304534251497456,11.632773101142448,1071.6477580785468,200.66996170088865,3.7338679951689198,926.6206912074069,1217.0755537623743,260.49015091025774,175.38444809364069,87.53041631734163,94.51212629841953,0.1545342514974557,0.1492913712240842,False,True,1777,1704,0.11762879939343411,0.7546270664726994,688.7049224983862,0,0.43356368795325717
