Q_dry_knot_1,Q_dry_knot_2,Q_dry_knot_3,Q_dry_knot_4,Q_wet_knot_1,Q_wet_knot_2,Q_wet_knot_3,Q_wet_knot_4,high_water_buffer_m,low_water_buffer_m,dry_protective_q_min_m3s,candidate_source
980.0,1007.0479611987262,1007.0479611987262,1142.7382475111528,1024.1317287695679,1024.1317287695679,1024.1317287695679,1160.0543530439822,0.07364039323592424,0.8,650.0,local_refinement
980.0,980.0,1010.2104450583984,1162.7007877490812,1005.584194866955,1005.584194866955,1025.2104450583984,1199.9221258784885,0.16050448517688726,0.7200269305396596,687.5469196766888,local_refinement
980.0,1003.9727091148726,1003.9727091148726,1150.9726587099358,1015.599907392748,1018.9727091148726,1018.9727091148726,1165.9726587099358,0.05,0.7894973784697943,650.0,local_refinement
980.0,980.0,990.9604535957988,1143.705601240425,1001.0483096606563,1001.0483096606563,1014.88830492215,1182.295839758348,0.08388636367865303,0.746864595253546,699.9964354082798,local_refinement
980.0,997.919391233828,997.919391233828,1170.9447842780555,1009.9066784368104,1022.8767167789359,1026.453596653474,1185.9447842780555,0.17678713687869863,0.8,657.2003966808123,local_refinement
980.0,980.0,980.0,1176.9977032801646,995.4360838802291,998.5413778898554,1000.7139244595827,1191.9977032801646,0.05,0.8,709.3727843292436,local_refinement
987.187772250912,987.187772250912,987.187772250912,1130.6299740372283,1005.6433515938751,1005.6433515938751,1005.856344586264,1186.7674642207178,0.06926821116152013,0.8,650.0,local_refinement
980.0,998.3282413092786,998.3282413092786,1200.0,1021.3715434250147,1021.3715434250147,1029.0651506447248,1200.0,0.10463775446751396,0.7818528759685393,650.0,local_refinement
999.0627932304358,999.0627932304358,999.0627932304358,1138.7481359818235,1015.4021770445187,1015.4021770445187,1031.5555321346988,1200.0,0.05,0.711569508110757,677.3819734833106,local_refinement
980.0480040631741,980.9021118757385,980.9021118757385,1181.605343326286,999.6234010768882,1014.4513957049071,1014.4513957049071,1196.605343326286,0.05,0.8,769.4316785270732,local_refinement
980.0,980.0,1008.4478258079575,1127.3087853263903,995.0,998.585536643179,1034.0136063051361,1183.4605209251893,0.05,0.7134248661831535,661.1413619652028,local_refinement
980.0,1023.4500520506607,1023.4500520506607,1146.7006346057426,995.0,1038.4500520506608,1038.4500520506608,1190.2701327814095,0.1062882530662143,0.8,691.377169787295,local_refinement
987.2031014744024,1006.2198550644998,1006.2198550644998,1162.6124750728802,1025.2239007563264,1025.2239007563264,1025.2239007563264,1178.1682710367604,0.055597746550434854,0.8,686.132341243923,local_refinement
981.5690271274251,981.5690271274251,982.0312182041382,1153.3395274816942,1025.8589959859974,1025.8589959859974,1025.8589959859974,1168.3395274816942,0.0945283707306099,0.8,669.2902821489852,local_refinement
980.0,995.8246194352313,995.960242641225,1111.428516801813,995.0,1010.8246194352313,1011.6801081437449,1160.9214734123766,0.08920121203686328,0.8,691.5779525291601,local_refinement
980.0,983.2004149150607,989.5963588511931,1109.5269364596609,1001.3133110214409,1013.4259409400439,1013.4259409400439,1151.7278674150807,0.08137424756114015,0.8,650.0,local_refinement
980.0,1002.8751129178016,1002.8751129178016,1134.0069732323923,1003.1029772851699,1017.8751129178016,1017.8751129178016,1197.6359219070093,0.058261476412045425,0.8,659.4992877651946,local_refinement
1003.3671222304752,1003.3671222304752,1003.3671222304752,1158.3375082694615,1018.3671222304752,1027.7285209385543,1027.7285209385543,1173.3375082694615,0.05,0.8,650.0,local_refinement
980.0,1010.9754825603408,1010.9754825603408,1145.0984433727729,995.0,1025.9754825603409,1025.9754825603409,1169.1104340688535,0.09377198628673838,0.7920645458231903,650.0,local_refinement
980.0,980.0,980.0,1171.5319357210585,1024.0506209572109,1024.0506209572109,1070.8645363887645,1186.5319357210585,0.05,0.7486785455938433,718.7052714537743,local_refinement
981.1460674038589,985.896274436902,990.9364099537372,1194.7698404437108,1004.1150465495683,1031.4021757507446,1031.4021757507446,1200.0,0.05,0.7664272076639577,650.0,local_refinement
980.0,980.0,980.0,1191.6314009528091,995.0,999.3679273446664,1010.5856285921383,1200.0,0.05,0.8,683.971011944517,local_refinement
1004.7945589821975,1004.7945589821975,1004.7945589821975,1181.968921510481,1019.7945589821975,1019.7945589821975,1019.7945589821975,1200.0,0.05,0.7781594794184767,684.5863126128419,local_refinement
982.3247188819165,983.5003037874628,1011.9864087022013,1156.966032408369,1006.214620622393,1006.214620622393,1026.9864087022013,1171.966032408369,0.0924664644461088,0.7496506589031089,664.7445810307788,local_refinement
